epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.932,0.97307,2.54128,1.39299,0.68086,0.48643,0.58657,0.38163,1.11833,1.75108,1.75406,0.000332528,0.000332528,0.000332528
2,295.595,0.89774,1.54986,1.30179,0.7157,0.51027,0.61807,0.44393,1.11507,1.41849,1.87243,0.000652677,0.000652677,0.000652677
3,432.808,0.88979,1.27025,1.29251,0.82204,0.65799,0.78295,0.55264,0.93909,0.94828,1.56185,0.000959627,0.000959627,0.000959627
4,570.776,0.8477,1.11522,1.25787,0.77182,0.58237,0.66921,0.45026,1.11994,1.35448,1.74488,0.0009406,0.0009406,0.0009406
5,708.157,0.80604,1.0244,1.23499,0.65862,0.83679,0.83634,0.59928,0.92709,0.90428,1.52197,0.0009208,0.0009208,0.0009208
6,845.553,0.78794,0.95489,1.22004,0.814,0.64112,0.75684,0.52498,1.01987,1.03779,1.59538,0.000901,0.000901,0.000901
7,981.217,0.75844,0.89396,1.2003,0.76345,0.67621,0.82578,0.61956,0.86258,0.84197,1.46785,0.0008812,0.0008812,0.0008812
8,1120.03,0.74378,0.85329,1.18801,0.86573,0.78071,0.88819,0.67858,0.8602,0.63863,1.42109,0.0008614,0.0008614,0.0008614
9,1255.29,0.71361,0.81966,1.16714,0.71849,0.68213,0.71445,0.56948,0.82248,1.11877,1.41822,0.0008416,0.0008416,0.0008416
10,1392.66,0.69349,0.78354,1.16132,0.78605,0.73607,0.82197,0.62858,0.88555,0.8986,1.4501,0.0008218,0.0008218,0.0008218
11,1528.37,0.68468,0.75637,1.15139,0.85471,0.69033,0.85642,0.65483,0.81914,0.78904,1.40965,0.000802,0.000802,0.000802
12,1665.59,0.67309,0.73282,1.13804,0.7728,0.69264,0.72292,0.5661,0.93589,1.30206,1.50781,0.0007822,0.0007822,0.0007822
13,1801.56,0.65283,0.71745,1.13212,0.74389,0.78607,0.76948,0.6089,0.81276,0.98211,1.39289,0.0007624,0.0007624,0.0007624
14,1938.31,0.64781,0.69093,1.12619,0.83785,0.78116,0.88885,0.67288,0.80109,0.71148,1.36726,0.0007426,0.0007426,0.0007426
15,2074.16,0.64965,0.69349,1.13208,0.82676,0.72298,0.84471,0.65655,0.85997,0.88964,1.43119,0.0007228,0.0007228,0.0007228
16,2211.8,0.6401,0.65667,1.12404,0.75462,0.73012,0.77867,0.62353,0.82703,1.1405,1.38577,0.000703,0.000703,0.000703
17,2346.69,0.62858,0.65487,1.1167,0.77248,0.71902,0.83681,0.67119,0.75507,0.98798,1.33618,0.0006832,0.0006832,0.0006832
